time_per_frame: 0.549087, fps: 0.113825
time_per_frame: 0.00959382, fps: 6.62132
time_per_frame: 0.0108439, fps: 11.9711
time_per_frame: 0.0864078, fps: 11.9462
time_per_frame: 0.0420366, fps: 12.6864
time_per_frame: 0.0572755, fps: 12.9847
time_per_frame: 0.0430981, fps: 13.6233
time_per_frame: 0.0446502, fps: 14.1716
time_per_frame: 0.0302722, fps: 15.3505
time_per_frame: 0.0337374, fps: 16.2437
time_per_frame: 0.0345477, fps: 17.0375
time_per_frame: 0.0510721, fps: 17.1964
time_per_frame: 0.0358393, fps: 17.8656
time_per_frame: 0.0386604, fps: 18.3656
time_per_frame: 0.040242, fps: 18.7708
time_per_frame: 0.0430362, fps: 19.0499
time_per_frame: 0.0444405, fps: 19.2657
time_per_frame: 0.0283756, fps: 20.2642
time_per_frame: 0.0476883, fps: 20.3083
time_per_frame: 0.0333125, fps: 20.9152
time_per_frame: 0.0331006, fps: 21.4962
time_per_frame: 0.0346374, fps: 21.9571
time_per_frame: 0.0378779, fps: 22.2348
time_per_frame: 0.0446907, fps: 22.2436
time_per_frame: 0.0303331, fps: 22.9138
time_per_frame: 0.046925, fps: 22.8136
time_per_frame: 0.0323308, fps: 23.3209
time_per_frame: 0.0324223, fps: 23.791
time_per_frame: 0.0300746, fps: 24.3823
time_per_frame: 0.0318133, fps: 24.823
time_per_frame: 0.0369928, fps: 24.961
time_per_frame: 0.0360231, fps: 25.136
time_per_frame: 0.0544395, fps: 24.713
time_per_frame: 0.0405338, fps: 24.7104
time_per_frame: 0.040886, fps: 24.6946
time_per_frame: 0.0425293, fps: 24.6208
time_per_frame: 0.042825, fps: 24.5414
time_per_frame: 0.0452745, fps: 24.3881
time_per_frame: 0.0458631, fps: 24.2266
time_per_frame: 0.0336272, fps: 24.571
time_per_frame: 0.0339452, fps: 24.8765
time_per_frame: 0.034299, fps: 25.144
time_per_frame: 0.0365311, fps: 25.2833
time_per_frame: 0.0390477, fps: 25.3037
time_per_frame: 0.0402989, fps: 25.2732
time_per_frame: 0.0582025, fps: 24.7674
time_per_frame: 0.0434384, fps: 24.6583
time_per_frame: 0.0292894, fps: 25.251
time_per_frame: 0.0323232, fps: 25.6064
time_per_frame: 0.0317193, fps: 25.9764
time_per_frame: 0.040343, fps: 25.9021
time_per_frame: 0.0398146, fps: 25.853
time_per_frame: 0.0584873, fps: 25.3058
time_per_frame: 0.0440897, fps: 25.1418
time_per_frame: 0.0448183, fps: 24.9649
time_per_frame: 0.0324063, fps: 25.3332
time_per_frame: 0.0278599, fps: 25.9933
time_per_frame: 0.0460673, fps: 25.7254
time_per_frame: 0.0467175, fps: 25.4554
time_per_frame: 0.0347734, fps: 25.6618
time_per_frame: 0.0343865, fps: 25.8755
time_per_frame: 0.0341502, fps: 26.0884
time_per_frame: 0.0433319, fps: 25.9003
time_per_frame: 0.0442669, fps: 25.6934
time_per_frame: 0.0307872, fps: 26.1176
time_per_frame: 0.0427342, fps: 25.9478
time_per_frame: 0.0429716, fps: 25.7805
time_per_frame: 0.0468258, fps: 25.504
time_per_frame: 0.0326386, fps: 25.8249
time_per_frame: 0.0331918, fps: 26.0938
time_per_frame: 0.0360352, fps: 26.1974
time_per_frame: 0.036941, fps: 26.2519
time_per_frame: 0.0544428, fps: 25.7592
time_per_frame: 0.0402296, fps: 25.7028
time_per_frame: 0.0406545, fps: 25.6337
time_per_frame: 0.042945, fps: 25.487
time_per_frame: 0.0434581, fps: 25.3322
time_per_frame: 0.028381, fps: 25.9511
time_per_frame: 0.0312423, fps: 26.3297
time_per_frame: 0.0487695, fps: 25.9656
time_per_frame: 0.0332378, fps: 26.2231
time_per_frame: 0.03492, fps: 26.374
time_per_frame: 0.0358244, fps: 26.4702
time_per_frame: 0.0371573, fps: 26.4979
time_per_frame: 0.0390189, fps: 26.4436
time_per_frame: 0.0582572, fps: 25.8637
time_per_frame: 0.0434821, fps: 25.6846
time_per_frame: 0.0447242, fps: 25.4767
time_per_frame: 0.0317896, fps: 25.8505
time_per_frame: 0.0318199, fps: 26.199
time_per_frame: 0.0338169, fps: 26.4098
time_per_frame: 0.0362496, fps: 26.4833
time_per_frame: 0.0527598, fps: 26.0127
time_per_frame: 0.0386725, fps: 26.0031
time_per_frame: 0.0400105, fps: 25.94
time_per_frame: 0.0424611, fps: 25.7906
time_per_frame: 0.0429227, fps: 25.6348
time_per_frame: 0.0459699, fps: 25.3922
time_per_frame: 0.0304867, fps: 25.8553
time_per_frame: 0.0470082, fps: 25.5689
time_per_frame: 0.0330288, fps: 25.8631
time_per_frame: 0.0349532, fps: 26.0348
time_per_frame: 0.0369622, fps: 26.0985
time_per_frame: 0.0367481, fps: 26.1682
time_per_frame: 0.038578, fps: 26.1527
time_per_frame: 0.0409003, fps: 26.0463
time_per_frame: 0.0587711, fps: 25.4819
time_per_frame: 0.043655, fps: 25.3209
time_per_frame: 0.0456549, fps: 25.1073
