time_per_frame: 0.547697, fps: 0.114114
time_per_frame: 0.0129346, fps: 4.93899
time_per_frame: 0.0113982, fps: 10.1136
time_per_frame: 0.0109752, fps: 15.1762
time_per_frame: 0.0328964, fps: 16.1276
time_per_frame: 0.0320026, fps: 17.0726
time_per_frame: 0.0485008, fps: 17.2942
time_per_frame: 0.0350815, fps: 17.9948
time_per_frame: 0.0389916, fps: 18.4731
time_per_frame: 0.0373582, fps: 18.9915
time_per_frame: 0.0396848, fps: 19.3794
time_per_frame: 0.0402902, fps: 19.7195
time_per_frame: 0.0569287, fps: 19.5849
time_per_frame: 0.0443431, fps: 19.7703
time_per_frame: 0.0460925, fps: 19.8906
time_per_frame: 0.0304907, fps: 20.6973
time_per_frame: 0.0323509, fps: 21.3356
time_per_frame: 0.0336746, fps: 21.8581
time_per_frame: 0.0351136, fps: 22.2719
time_per_frame: 0.0542604, fps: 22.0318
time_per_frame: 0.0395054, fps: 22.2369
time_per_frame: 0.0413528, fps: 22.3584
time_per_frame: 0.0421635, fps: 22.4434
time_per_frame: 0.0437371, fps: 22.4697
time_per_frame: 0.0317218, fps: 23.0356
time_per_frame: 0.0311412, fps: 23.6028
time_per_frame: 0.0486481, fps: 23.4124
time_per_frame: 0.0411165, fps: 23.4692
time_per_frame: 0.0408044, fps: 23.5341
time_per_frame: 0.0423637, fps: 23.5385
time_per_frame: 0.0441703, fps: 23.4823
time_per_frame: 0.0294991, fps: 24.1334
time_per_frame: 0.0311865, fps: 24.6291
time_per_frame: 0.0489756, fps: 24.3659
time_per_frame: 0.0354247, fps: 24.6074
time_per_frame: 0.0308634, fps: 25.0945
time_per_frame: 0.0333978, fps: 25.3974
time_per_frame: 0.0344806, fps: 25.6227
time_per_frame: 0.036119, fps: 25.7517
time_per_frame: 0.0545299, fps: 25.2884
time_per_frame: 0.038601, fps: 25.327
time_per_frame: 0.0402136, fps: 25.2982
time_per_frame: 0.0420807, fps: 25.2023
time_per_frame: 0.0521358, fps: 24.826
time_per_frame: 0.0374023, fps: 24.9454
time_per_frame: 0.0385215, fps: 25.0088
time_per_frame: 0.0487418, fps: 24.728
time_per_frame: 0.0342359, fps: 25.0081
time_per_frame: 0.0385963, fps: 25.0644
time_per_frame: 0.0377148, fps: 25.155
time_per_frame: 0.0383851, fps: 25.2111
time_per_frame: 0.0414323, fps: 25.1439
time_per_frame: 0.0406399, fps: 25.1103
time_per_frame: 0.0641905, fps: 24.5145
time_per_frame: 0.033691, fps: 24.8375
time_per_frame: 0.0356249, fps: 25.0395
time_per_frame: 0.03857, fps: 25.095
time_per_frame: 0.038535, fps: 25.1485
time_per_frame: 0.0404368, fps: 25.1223
time_per_frame: 0.0414134, fps: 25.0613
time_per_frame: 0.0608989, fps: 24.5213
time_per_frame: 0.0295571, fps: 25.1033
time_per_frame: 0.030987, fps: 25.5513
time_per_frame: 0.0320387, fps: 25.9051
time_per_frame: 0.0344011, fps: 26.1028
time_per_frame: 0.0358791, fps: 26.2134
time_per_frame: 0.0528502, fps: 25.7576
time_per_frame: 0.0397957, fps: 25.7183
time_per_frame: 0.0402818, fps: 25.6625
time_per_frame: 0.0423229, fps: 25.5353
time_per_frame: 0.0433994, fps: 25.3795
time_per_frame: 0.0301045, fps: 25.8693
time_per_frame: 0.0247595, fps: 26.7768
time_per_frame: 0.0594625, fps: 26.1543
time_per_frame: 0.0453682, fps: 25.8973
time_per_frame: 0.030785, fps: 26.3089
time_per_frame: 0.0329128, fps: 26.5636
time_per_frame: 0.0352336, fps: 26.6772
time_per_frame: 0.0362671, fps: 26.7332
time_per_frame: 0.0363809, fps: 26.7803
time_per_frame: 0.0590967, fps: 26.1642
time_per_frame: 0.0441987, fps: 25.943
time_per_frame: 0.0306686, fps: 26.3594
time_per_frame: 0.030781, fps: 26.7425
time_per_frame: 0.0327272, fps: 26.9808
time_per_frame: 0.035029, fps: 27.0787
time_per_frame: 0.0521099, fps: 26.5857
time_per_frame: 0.0387534, fps: 26.5368
time_per_frame: 0.0400969, fps: 26.437
time_per_frame: 0.0394689, fps: 26.3682
time_per_frame: 0.0424556, fps: 26.1923
time_per_frame: 0.0433541, fps: 25.9969
time_per_frame: 0.0452377, fps: 25.7537
time_per_frame: 0.0468379, fps: 25.4785
time_per_frame: 0.0316751, fps: 25.8592
time_per_frame: 0.033303, fps: 26.1197
time_per_frame: 0.0364691, fps: 26.201
time_per_frame: 0.0383144, fps: 26.1947
time_per_frame: 0.0394773, fps: 26.1407
time_per_frame: 0.0415837, fps: 26.0099
time_per_frame: 0.0572646, fps: 25.4757
time_per_frame: 0.0445295, fps: 25.2871
time_per_frame: 0.0448026, fps: 25.1016
time_per_frame: 0.0311609, fps: 25.5385
time_per_frame: 0.0278694, fps: 26.1849
time_per_frame: 0.0307073, fps: 26.5837
time_per_frame: 0.0312255, fps: 26.9238
time_per_frame: 0.048612, fps: 26.5268
time_per_frame: 0.0346979, fps: 26.6701
time_per_frame: 0.036437, fps: 26.7185
time_per_frame: 0.0418637, fps: 26.5415
time_per_frame: 0.0422634, fps: 26.3615
time_per_frame: 0.0437137, fps: 26.1437
time_per_frame: 0.0455633, fps: 25.8814
time_per_frame: 0.0330627, fps: 26.1542
time_per_frame: 0.0338059, fps: 26.3683
time_per_frame: 0.0348336, fps: 26.5146
time_per_frame: 0.036429, fps: 26.5731
time_per_frame: 0.0384252, fps: 26.5388
time_per_frame: 0.0395612, fps: 26.4599
time_per_frame: 0.0568036, fps: 25.9065
time_per_frame: 0.0421398, fps: 25.7705
time_per_frame: 0.0437381, fps: 25.5888
time_per_frame: 0.0457522, fps: 25.3555
time_per_frame: 0.0311478, fps: 25.7774
time_per_frame: 0.0322444, fps: 26.1046
time_per_frame: 0.0344197, fps: 26.2889
